    13.2188579290949    0    141    141    147
    16.3098593303602    0    436    436    436
    32.2997856081273    0    467    467    467
     37.043017033826    0      2     11      2
    38.4803934199145    0     14     15     14
    51.7904338913464    0     12     14     12
    68.0561387772511    0     10     23     10
    81.0593253594058    0    345    345    345
    84.9015793088035    0     17      5     17
     88.760089397851    0    367    367    384
    102.604528809769    0    201    210    201
     110.89015887946    0    129    129    139
    124.440866446819    0     23      0     23
    132.902662781186    0     76     76     74
    149.715497847258    0    215    219    215
    160.194136556974    0     70     61     71
    161.667397518457    0    103    108    127
    170.105006063769    0    260    260    253
    181.167570197735    0    381    381    391
    199.624896950083    0     67     51     51
     205.70675090279    0    358    358    371
    215.959857196884    0    114    117    132
    223.262796588854    0    124    123    100
     245.61916224782    0    130    130    140
    246.318427766393    0    206    200    206
    263.415240329902    0    376    376    374
     277.83798236126    0    245    245    245
     285.53977051984    0     45     45     45
