           1            0          0.5           10            0            0         -nan         -nan
           1            0          0.5           20            1         0.85      1.84391          1.7
           1            0          0.5           30      1.26667      1.03222      1.60418      1.62982
           1            0          0.5           40          1.5       1.0375       1.3581      1.38333
           1            0          0.5           50         1.52       0.9824      1.30416      1.29263
           1            0          0.5           60          1.5     0.954167      1.30242      1.27222
           1            0          0.5           70          1.6     0.902857      1.18773      1.12857
           1            0          0.5           80         1.65     0.869375      1.13019      1.05379
           1            0          0.5           90      1.68889      0.95358       1.1564      1.12924
           1            0          0.5          100         1.78       0.9979      1.12242      1.12124
           1            0          0.5          110      1.72727     0.954132      1.13103      1.10478
           1            0          0.5          120      1.66667     0.922222      1.15239      1.10667
           1            0          0.5          130      1.70769     0.940178       1.1356      1.10111
           1            0          0.5          140      1.77143     0.929796      1.08868      1.04977
           1            0          0.5          150      1.74667     0.897289      1.08464      1.02743
           1            0          0.5          160       1.7375     0.876523      1.07767      1.00895
           1            0          0.5          170      1.71765     0.862422      1.08132      1.00419
           1            0          0.5          180      1.75556     0.896173      1.07848      1.02096
           1            0          0.5          190      1.70526     0.883546      1.10244      1.03626
           1            0          0.5          200         1.66       0.8711      1.12449      1.04952
           1            0          0.5          210      1.66667     0.862698      1.11458      1.03524
           1            0          0.5          220      1.65455     0.861074      1.12169      1.04086
           1            0          0.5          230      1.62609     0.847656      1.13239      1.04257
           1            0          0.5          240      1.61667     0.829931      1.12702      1.02672
           1            0          0.5          250        1.608     0.813584      1.12188      1.01192
           1            0          0.5          260      1.66154     0.848284      1.10864      1.02108
           1            0          0.5          270      1.62963     0.832373       1.1197      1.02155
           1            0          0.5          280      1.62857      0.81551      1.10902       1.0015
           1            0          0.5          290      1.62759     0.820499      1.11308      1.00824
           1            0          0.5          300      1.63333     0.816389      1.10638      0.99966
