         5.5            1          0.5           10            0            0         -nan         -nan
         5.5            1          0.5           20          0.2         0.09            3          0.9
         5.5            1          0.5           30          0.2         0.09            3          0.9
         5.5            1          0.5           40         0.25     0.109375      2.64575        0.875
         5.5            1          0.5           50          0.2         0.09            3          0.9
         5.5            1          0.5           60          0.2         0.09            3          0.9
         5.5            1          0.5           70          0.2         0.09            3          0.9
         5.5            1          0.5           80        0.175    0.0798437      3.22933       0.9125
         5.5            1          0.5           90     0.222222    0.0987654      2.82843     0.888889
         5.5            1          0.5          100          0.2         0.09            3          0.9
         5.5            1          0.5          110          0.2         0.09            3          0.9
         5.5            1          0.5          120          0.2         0.09            3          0.9
         5.5            1          0.5          130          0.2         0.09            3          0.9
         5.5            1          0.5          140          0.2         0.09            3          0.9
         5.5            1          0.5          150          0.2         0.09            3          0.9
         5.5            1          0.5          160          0.2         0.09            3          0.9
         5.5            1          0.5          170          0.2         0.09            3          0.9
         5.5            1          0.5          180     0.211111     0.105525      3.07749     0.999708
         5.5            1          0.5          190     0.210526     0.104709      3.07409     0.994737
         5.5            1          0.5          200          0.2          0.1      3.16228            1
         5.5            1          0.5          210          0.2    0.0995238      3.15474     0.995238
         5.5            1          0.5          220          0.2    0.0990909      3.14787     0.990909
         5.5            1          0.5          230     0.208696     0.102155        3.063     0.978986
         5.5            1          0.5          240          0.2    0.0983333      3.13581     0.983333
         5.5            1          0.5          250          0.2        0.098       3.1305         0.98
         5.5            1          0.5          260          0.2    0.0976923      3.12558     0.976923
         5.5            1          0.5          270          0.2    0.0974074      3.12102     0.974074
         5.5            1          0.5          280          0.2    0.0971429      3.11677     0.971429
         5.5            1          0.5          290          0.2    0.0968966      3.11282     0.968966
         5.5            1          0.5          300          0.2    0.0966667      3.10913     0.966667
