         5.5            0          0.5           10            0            0         -nan         -nan
         5.5            0          0.5           20         11.5      189.488      2.39399      32.9543
         5.5            0          0.5           30      32.6667      395.489      1.21757      24.2136
         5.5            0          0.5           40        31.65      301.644       1.0975      19.0613
         5.5            0          0.5           50        34.68      255.384     0.921612      14.7281
         5.5            0          0.5           60      35.8333      217.843     0.823786      12.1587
         5.5            0          0.5           70         36.8      192.983     0.754991      10.4882
         5.5            0          0.5           80        37.55      173.374     0.701314      9.23432
         5.5            0          0.5           90      37.5778      155.589     0.663878      8.28089
         5.5            0          0.5          100        38.28       143.08     0.624954      7.47546
         5.5            0          0.5          110      39.2909      135.738     0.593046      6.90938
         5.5            0          0.5          120      39.3333      125.722     0.570132      6.39266
         5.5            0          0.5          130      39.2154      120.623      0.56013      6.15182
         5.5            0          0.5          140      40.4857      118.527     0.537819      5.85524
         5.5            0          0.5          150      40.4667      114.099     0.527926      5.63915
         5.5            0          0.5          160      40.4625      108.653     0.515226      5.37054
         5.5            0          0.5          170      40.9647      105.403      0.50124      5.14602
         5.5            0          0.5          180      41.4667      102.662     0.488693      4.95155
         5.5            0          0.5          190      41.0105        98.85     0.484867      4.82071
         5.5            0          0.5          200        40.25      96.9794     0.489332      4.81885
         5.5            0          0.5          210      41.1238      102.103     0.491424      4.96565
         5.5            0          0.5          220      41.1455      101.163     0.488899      4.91733
         5.5            0          0.5          230      41.1826      98.2678     0.481417      4.77229
         5.5            0          0.5          240       40.675      95.7819     0.481221      4.70962
         5.5            0          0.5          250       41.144      95.4848     0.474997      4.64149
         5.5            0          0.5          260         41.4      92.9792     0.465825      4.49175
         5.5            0          0.5          270      41.1407      90.5413     0.462574      4.40154
         5.5            0          0.5          280      40.8357      88.6718     0.461193      4.34286
         5.5            0          0.5          290      41.1931      88.3717     0.456417      4.29061
         5.5            0          0.5          300      40.7933       87.086     0.457525      4.26962
