         5.5            0          0.5           10            0            0         -nan         -nan
         5.5            0          0.5           20           23       312.85      1.53805      27.2043
         5.5            0          0.5           30           75       135.45     0.310355        3.612
         5.5            0          0.5           40         28.6        17.01     0.288414      1.18951
         5.5            0          0.5           50         46.8        24.44     0.211268      1.04444
         5.5            0          0.5           60         41.6        20.16     0.215865     0.969231
         5.5            0          0.5           70         42.6        34.01     0.273794      1.59671
         5.5            0          0.5           80         42.8        28.24     0.248324      1.31963
         5.5            0          0.5           90         37.8        13.29     0.192886     0.703175
         5.5            0          0.5          100         44.6        19.41     0.197564     0.870404
         5.5            0          0.5          110         49.4        34.21     0.236799      1.38502
         5.5            0          0.5          120         39.8        15.49     0.197776     0.778392
         5.5            0          0.5          130         37.8        58.89     0.406031      3.11587
         5.5            0          0.5          140           57        17.85     0.148243     0.626316
         5.5            0          0.5          150         40.2        52.09     0.359072      2.59154
         5.5            0          0.5          160         40.4        26.96     0.257045      1.33465
         5.5            0          0.5          170           49        36.25     0.245747      1.47959
         5.5            0          0.5          180           50         36.8     0.242652        1.472
         5.5            0          0.5          190         32.8        12.44     0.215063     0.758537
         5.5            0          0.5          200         25.8         6.49     0.197484     0.503101
         5.5            0          0.5          210         58.6       124.41      0.38068      4.24608
         5.5            0          0.5          220         41.6        81.36     0.433653      3.91154
         5.5            0          0.5          230           42         34.4     0.279293       1.6381
         5.5            0          0.5          240           29         3.05     0.120443     0.210345
         5.5            0          0.5          250         52.4        55.36     0.283986      2.11298
         5.5            0          0.5          260         47.8        19.69     0.185663     0.823849
         5.5            0          0.5          270         34.4        15.36      0.22786     0.893023
         5.5            0          0.5          280         32.6        20.61     0.278517      1.26442
         5.5            0          0.5          290         51.2        54.04     0.287156      2.11094
         5.5            0          0.5          300         29.2        15.04     0.265626      1.03014
