           1            0          0.5           10            0            0         -nan         -nan
           1            0          0.5           20            2            1            1            1
           1            0          0.5           30          1.8         2.29      1.68142      2.54444
           1            0          0.5           40          2.4         1.36     0.971825      1.13333
           1            0          0.5           50          2.6         0.41     0.492548     0.315385
           1            0          0.5           60          1.4         0.81      1.28571      1.15714
           1            0          0.5           70          1.8         0.49     0.777778     0.544444
           1            0          0.5           80            2          0.4     0.632456          0.4
           1            0          0.5           90          2.4         2.36      1.28019      1.96667
           1            0          0.5          100          2.2         1.09     0.949119     0.990909
           1            0          0.5          110          1.4         0.81      1.28571      1.15714
           1            0          0.5          120          1.2         0.64      1.33333      1.06667
           1            0          0.5          130          2.6         1.21     0.846154     0.930769
           1            0          0.5          140          2.2         0.89     0.857635     0.809091
           1            0          0.5          150          1.8         1.29      1.26198      1.43333
           1            0          0.5          160          1.4         0.41     0.914732     0.585714
           1            0          0.5          170            2          0.6     0.774597          0.6
           1            0          0.5          180            2          0.4     0.632456          0.4
           1            0          0.5          190            1         0.45      1.34164          0.9
           1            0          0.5          200          0.8         0.24      1.22474          0.6
           1            0          0.5          210            2          0.4     0.632456          0.4
           1            0          0.5          220          1.6         0.36         0.75         0.45
           1            0          0.5          230          1.4         0.41     0.914732     0.585714
           1            0          0.5          240          1.8         0.69     0.922958     0.766667
           1            0          0.5          250          1.4         0.41     0.914732     0.585714
           1            0          0.5          260          3.4         1.21     0.647059     0.711765
           1            0          0.5          270          1.2         0.44      1.10554     0.733333
           1            0          0.5          280          1.4         0.41     0.914732     0.585714
           1            0          0.5          290          1.6         0.36         0.75         0.45
           1            0          0.5          300          0.8         0.24      1.22474          0.6
