          10            0          0.5           10            0            0         -nan         -nan
          10            0          0.5           20        145.4      6052.21       1.0701      83.2491
          10            0          0.5           30        238.8       402.44     0.168014      3.37052
          10            0          0.5           40        204.6      2792.81     0.516589      27.3002
          10            0          0.5           50        212.2       961.09     0.292191      9.05834
          10            0          0.5           60        175.8       332.89     0.207569      3.78714
          10            0          0.5           70        132.4       696.36      0.39862       10.519
          10            0          0.5           80        242.8       345.44     0.153097      2.84547
          10            0          0.5           90          271      1443.45     0.280389      10.6528
          10            0          0.5          100          268        450.8     0.158448      3.36418
          10            0          0.5          110        125.4       254.21      0.25429      4.05439
          10            0          0.5          120        170.2      1070.69     0.384505      12.5816
          10            0          0.5          130          242        494.8     0.183836      4.08926
          10            0          0.5          140        174.2      1040.29     0.370305      11.9436
          10            0          0.5          150          294        711.2     0.181417       4.8381
          10            0          0.5          160        143.4       281.61     0.234048      3.92762
          10            0          0.5          170        121.6      1298.16     0.592598      21.3513
          10            0          0.5          180        222.2       855.89     0.263327      7.70378
          10            0          0.5          190        252.2       300.49     0.137467      2.38295
          10            0          0.5          200        183.2       834.84     0.315432      9.11397
          10            0          0.5          210        152.4      2072.96     0.597504      27.2042
          10            0          0.5          220          205       770.25     0.270765      7.51463
          10            0          0.5          230        283.8      2079.49     0.321363      14.6546
          10            0          0.5          240        255.6       141.76    0.0931635      1.10923
          10            0          0.5          250          178        915.6     0.339987      10.2876
          10            0          0.5          260        101.8        97.09     0.193584      1.90747
          10            0          0.5          270        199.8      1503.89     0.388188       15.054
          10            0          0.5          280        320.6      1690.01     0.256455      10.5428
          10            0          0.5          290        199.4       212.81     0.146319       2.1345
          10            0          0.5          300        131.6       379.16     0.295928      5.76231
