         5.5            1          0.5           10            0            0         -nan         -nan
         5.5            1          0.5           20          0.3       0.2275       3.1798      1.51667
         5.5            1          0.5           30          0.2     0.156667      3.95811      1.56667
         5.5            1          0.5           40         0.25     0.159375      3.19374        1.275
         5.5            1          0.5           50          0.2         0.13      3.60555          1.3
         5.5            1          0.5           60          0.2     0.123333      3.51188      1.23333
         5.5            1          0.5           70          0.2     0.118571      3.44342      1.18571
         5.5            1          0.5           80        0.175     0.104844      3.70052      1.19821
         5.5            1          0.5           90     0.222222     0.120988       3.1305      1.08889
         5.5            1          0.5          100          0.2         0.11      3.31662          1.1
         5.5            1          0.5          110     0.218182     0.115372      3.11359      1.05758
         5.5            1          0.5          120          0.2     0.106667      3.26599      1.06667
         5.5            1          0.5          130          0.2     0.105385       3.2463      1.05385
         5.5            1          0.5          140          0.2     0.104286      3.22933      1.04286
         5.5            1          0.5          150     0.213333     0.121956      3.27395      1.14333
         5.5            1          0.5          160        0.225     0.124844      3.14073      1.10972
         5.5            1          0.5          170     0.235294     0.127336      3.03315      1.08235
         5.5            1          0.5          180     0.266667     0.137778      2.78388      1.03333
         5.5            1          0.5          190     0.252632     0.131413      2.86986      1.04035
         5.5            1          0.5          200         0.26       0.1331      2.80637      1.02385
         5.5            1          0.5          210     0.247619     0.127528      2.88436      1.03004
         5.5            1          0.5          220     0.245455     0.125847      2.89055      1.02542
         5.5            1          0.5          230     0.252174      0.12758      2.83284      1.01184
         5.5            1          0.5          240     0.241667     0.122899      2.90127       1.0171
         5.5            1          0.5          250        0.248     0.124624      2.84695      1.00503
         5.5            1          0.5          260     0.246154     0.123314      2.85318      1.00192
         5.5            1          0.5          270     0.237037     0.119287      2.91414      1.00648
         5.5            1          0.5          280     0.242857     0.120969      2.86429     0.996218
         5.5            1          0.5          290     0.248276     0.129417      2.89796      1.04253
         5.5            1          0.5          300     0.273333     0.144656      2.78295      1.05846
