         5.5            0          0.5           10            0            0         -nan         -nan
         5.5            0          0.5           20          2.4         4.56      1.77951          3.8
         5.5            0          0.5           30      24.4667      274.512      1.35437      22.4397
         5.5            0          0.5           40        28.15      236.419      1.09243      16.7971
         5.5            0          0.5           50        26.64      193.618      1.04464      14.5359
         5.5            0          0.5           60      26.7333      164.966      0.96089      12.3416
         5.5            0          0.5           70      27.4571      144.255     0.874863      10.5076
         5.5            0          0.5           80        29.95      141.974     0.795679      9.48076
         5.5            0          0.5           90      31.7333      135.471     0.733563       8.5381
         5.5            0          0.5          100        31.84      122.834      0.69617      7.71568
         5.5            0          0.5          110      32.5818      114.915     0.658027      7.05396
         5.5            0          0.5          120         33.5      109.221     0.623933      6.52065
         5.5            0          0.5          130      33.2615      103.141     0.610664      6.20179
         5.5            0          0.5          140      33.0429      96.8638     0.595708      5.86292
         5.5            0          0.5          150      33.9067      94.1112     0.572223      5.55119
         5.5            0          0.5          160      34.5375       91.284     0.553269      5.28608
         5.5            0          0.5          170      34.9882      87.6853     0.535268      5.01227
         5.5            0          0.5          180      34.3778       84.831     0.535833      4.93522
         5.5            0          0.5          190      34.2947      81.7783     0.527377      4.76914
         5.5            0          0.5          200        34.76      79.3756     0.512618      4.56707
         5.5            0          0.5          210      34.7905      77.2295     0.505198      4.43969
         5.5            0          0.5          220      34.4364      74.8342     0.502415      4.34623
         5.5            0          0.5          230      34.1304      72.6784     0.499564      4.25886
         5.5            0          0.5          240      34.6833      73.0166     0.492742      4.21047
         5.5            0          0.5          250       34.304      71.7769     0.493944      4.18475
         5.5            0          0.5          260      34.3692       70.089     0.487175      4.07859
         5.5            0          0.5          270      34.8074      70.2555     0.481613      4.03682
         5.5            0          0.5          280      34.5286      69.3373      0.48232      4.01623
         5.5            0          0.5          290      34.1172      68.9035     0.486605      4.03922
         5.5            0          0.5          300      34.7333      70.1722     0.482354      4.04063
