         5.5            0          0.5           10            0            0         -nan         -nan
         5.5            0          0.5           20          4.8         6.24      1.04083          2.6
         5.5            0          0.5           30         68.6        84.01     0.267221      2.44927
         5.5            0          0.5           40         39.2        81.44     0.460429       4.1551
         5.5            0          0.5           50         20.6        11.01     0.322149      1.06893
         5.5            0          0.5           60         27.2        21.64      0.34205      1.59118
         5.5            0          0.5           70         31.8        14.49     0.239407     0.911321
         5.5            0          0.5           80         47.4        39.01     0.263536      1.64599
         5.5            0          0.5           90           46         26.2     0.222548      1.13913
         5.5            0          0.5          100         32.8         8.84     0.181294     0.539024
         5.5            0          0.5          110           40         20.6     0.226936         1.03
         5.5            0          0.5          120         43.6        18.76     0.198683      0.86055
         5.5            0          0.5          130         30.4        27.96     0.347876      1.83947
         5.5            0          0.5          140         30.2        13.09     0.239603     0.866887
         5.5            0          0.5          150           46         16.4     0.176074     0.713043
         5.5            0          0.5          160           44           25     0.227273      1.13636
         5.5            0          0.5          170         42.2        16.29     0.191284     0.772038
         5.5            0          0.5          180           24          7.8     0.232737         0.65
         5.5            0          0.5          190         32.8        26.24     0.312348          1.6
         5.5            0          0.5          200         43.6        13.16     0.166407      0.60367
         5.5            0          0.5          210         35.4        34.21     0.330448      1.93277
         5.5            0          0.5          220           27        10.05     0.234828     0.744444
         5.5            0          0.5          230         27.4        13.41     0.267297     0.978832
         5.5            0          0.5          240         47.4        38.61     0.262181      1.62911
         5.5            0          0.5          250         25.2        20.44     0.358814      1.62222
         5.5            0          0.5          260           36         27.2     0.289742      1.51111
         5.5            0          0.5          270         46.2        40.89     0.276819      1.77013
         5.5            0          0.5          280           27        29.85     0.404705      2.21111
         5.5            0          0.5          290         22.6        22.41     0.418931      1.98319
         5.5            0          0.5          300         52.6        24.41     0.187857     0.928137
