          10            0          0.5           10            0            0         -nan         -nan
          10            0          0.5           20         53.6      1112.16      1.24437      41.4985
          10            0          0.5           30         69.2        76.64     0.253018      2.21503
          10            0          0.5           40         62.6        44.21      0.21243      1.41246
          10            0          0.5           50         62.4        63.76     0.255929      2.04359
          10            0          0.5           60         50.6        40.21     0.250638      1.58933
          10            0          0.5           70         45.4        10.41     0.142135      0.45859
          10            0          0.5           80           85        78.45     0.208405      1.84588
          10            0          0.5           90         46.8        59.24     0.328921      2.53162
          10            0          0.5          100         47.6        27.76     0.221377      1.16639
          10            0          0.5          110         62.4       116.96     0.346628      3.74872
          10            0          0.5          120         57.6        60.96       0.2711      2.11667
          10            0          0.5          130         48.6        30.81     0.228423       1.2679
          10            0          0.5          140           66         74.6     0.261731      2.26061
          10            0          0.5          150         68.4        59.76     0.226037      1.74737
          10            0          0.5          160         36.6        27.01     0.283995      1.47596
          10            0          0.5          170         73.4        74.01     0.234412      2.01662
          10            0          0.5          180         68.2        20.09     0.131442      0.58915
          10            0          0.5          190         36.6        25.61     0.276537      1.39945
          10            0          0.5          200         42.4        11.56     0.160377     0.545283
          10            0          0.5          210         67.6        54.56     0.218535       1.6142
          10            0          0.5          220         53.8        46.89     0.254559      1.74312
          10            0          0.5          230         63.8       128.69     0.355616      4.03417
          10            0          0.5          240         53.4         8.81     0.111167     0.329963
          10            0          0.5          250         55.4        16.41     0.146243     0.592419
          10            0          0.5          260         55.6       131.16     0.411961      4.71799
          10            0          0.5          270         79.6        97.96      0.24868      2.46131
          10            0          0.5          280           59       166.85     0.437866      5.65593
          10            0          0.5          290         42.2        44.69     0.316827      2.11801
          10            0          0.5          300         65.6        64.36     0.244587       1.9622
