          10            0          0.5           10            0            0         -nan         -nan
          10            0          0.5           20          0.8         0.74      2.15058         1.85
          10            0          0.5           30      13.9333      145.566      1.73183      20.8946
          10            0          0.5           40         21.1      153.397      1.17397        14.54
          10            0          0.5           50        23.84      143.634      1.00543      12.0498
          10            0          0.5           60         23.3      121.494     0.946132      10.4287
          10            0          0.5           70      22.7714      107.066     0.908792       9.4035
          10            0          0.5           80       24.375      102.602     0.831121      8.41865
          10            0          0.5           90      26.3111      100.576      0.76232      7.64512
          10            0          0.5          100        26.62      94.3139     0.729642      7.08594
          10            0          0.5          110      25.7455      88.2202     0.729648      6.85326
          10            0          0.5          120      26.5667      85.1697     0.694761      6.41177
          10            0          0.5          130      27.8154       85.053     0.663116      6.11554
          10            0          0.5          140         28.1      80.6332     0.639117      5.73902
          10            0          0.5          150         27.2         78.8     0.652716      5.79412
          10            0          0.5          160      27.9875      77.2687     0.628156      5.52166
          10            0          0.5          170      29.3647      82.3226     0.617965      5.60691
          10            0          0.5          180      29.1889      81.2189     0.617506      5.56505
          10            0          0.5          190         28.2      81.9637     0.642084      5.81303
          10            0          0.5          200        28.72      80.1904     0.623601      5.58429
          10            0          0.5          210      29.3714       79.606     0.607544      5.42064
          10            0          0.5          220      29.5364      76.7781     0.593324      5.19888
          10            0          0.5          230      29.0435      75.5278     0.598459      5.20102
          10            0          0.5          240      29.2833      73.6383     0.586086      5.02936
          10            0          0.5          250       30.184      76.8595     0.580901      5.09273
          10            0          0.5          260      30.1077      74.5817     0.573679      4.95433
          10            0          0.5          270      29.3778      75.5625     0.591785      5.14419
          10            0          0.5          280      29.2643      73.7754     0.587013      5.04201
          10            0          0.5          290      30.0552      77.1785       0.5846      5.13579
          10            0          0.5          300      30.2733       75.698     0.574794      5.00097
