          10            1          0.5           10            0            0         -nan         -nan
          10            1          0.5           20          0.2         0.09            3          0.9
          10            1          0.5           30     0.133333    0.0622222      3.74166     0.933333
          10            1          0.5           40         0.25     0.109375      2.64575        0.875
          10            1          0.5           50          0.2         0.09            3          0.9
          10            1          0.5           60          0.2         0.09            3          0.9
          10            1          0.5           70     0.257143     0.112041      2.60342     0.871429
          10            1          0.5           80         0.25     0.109375      2.64575        0.875
          10            1          0.5           90          0.4     0.204444      2.26078      1.02222
          10            1          0.5          100         0.64       0.4376      2.06723       1.3675
          10            1          0.5          110     0.727273     0.467769      1.88082      1.28636
          10            1          0.5          120     0.883333     0.629931      1.79702      1.42626
          10            1          0.5          130     0.892308     0.616331      1.75963      1.38143
          10            1          0.5          140     0.828571      0.58551        1.847       1.4133
          10            1          0.5          150     0.786667     0.558622       1.9002      1.42023
          10            1          0.5          160       0.7375     0.532773      1.97943      1.44481
          10            1          0.5          170     0.717647     0.512422      1.99495      1.42806
          10            1          0.5          180     0.677778      0.49071      2.06707        1.448
          10            1          0.5          190     0.652632     0.472465      2.10643      1.44788
          10            1          0.5          200         0.64       0.4576      2.11394         1.43
          10            1          0.5          210     0.619048      0.44229      2.14862      1.42894
          10            1          0.5          220          0.6     0.428182      2.18119      1.42727
          10            1          0.5          230     0.582609     0.415142      2.21183      1.42511
          10            1          0.5          240     0.558333     0.401233        2.269      1.43725
          10            1          0.5          250        0.552     0.391824      2.26797      1.41965
          10            1          0.5          260     0.538462     0.381361      2.29374      1.41648
          10            1          0.5          270     0.525926     0.371591      2.31813      1.41309
          10            1          0.5          280     0.521429     0.364171      2.31466      1.39682
          10            1          0.5          290     0.517241     0.357253      2.31113      1.38138
          10            1          0.5          300          0.5       0.3475      2.35797         1.39
