         5.5            0          0.5           10            0            0         -nan         -nan
         5.5            0          0.5           20            1         0.65      1.61245          1.3
         5.5            0          0.5           30          1.4         0.81      1.28571      1.15714
         5.5            0          0.5           40         4.05      10.1244       1.5713      4.99969
         5.5            0          0.5           50        10.56      56.8416       1.4279      10.7655
         5.5            0          0.5           60      13.7333      64.5489      1.17003      9.40032
         5.5            0          0.5           70      13.2857      57.7153      1.14364      8.68833
         5.5            0          0.5           80       13.475      52.1186      1.07151       7.7356
         5.5            0          0.5           90      13.8444      49.2273      1.01358      7.11149
         5.5            0          0.5          100        15.46      51.8371      0.93141      6.70596
         5.5            0          0.5          110      15.3636      49.0351     0.911569      6.38327
         5.5            0          0.5          120      15.4167      45.5066     0.875138      5.90356
         5.5            0          0.5          130      15.2769      42.2308     0.850764      5.52871
         5.5            0          0.5          140      15.4143      41.0785     0.831599      5.32993
         5.5            0          0.5          150      16.0533       41.466     0.802252      5.16602
         5.5            0          0.5          160      16.3875      40.2062     0.773863      4.90694
         5.5            0          0.5          170      16.1647      38.3462     0.766166      4.74443
         5.5            0          0.5          180      16.2778      37.2752     0.750144      4.57988
         5.5            0          0.5          190      16.0211      35.7262     0.746161      4.45991
         5.5            0          0.5          200        16.37      35.3608     0.726511      4.32019
         5.5            0          0.5          210      16.9048      35.8287     0.708168      4.23889
         5.5            0          0.5          220      16.9545      35.5495     0.703332       4.1935
         5.5            0          0.5          230       16.487       35.419     0.721951      4.29661
         5.5            0          0.5          240      16.9667      36.2997     0.710207      4.27895
         5.5            0          0.5          250       17.096      35.1677     0.693757      4.11414
         5.5            0          0.5          260      17.1615      34.0589     0.680125      3.96921
         5.5            0          0.5          270      16.9185      33.2557     0.681712      3.93128
         5.5            0          0.5          280      17.2571      33.9978      0.67575      3.94014
         5.5            0          0.5          290      17.6414      34.2023     0.663018      3.87751
         5.5            0          0.5          300      17.6067      33.5247     0.657711      3.80818
