         5.5            1          0.5           10            0            0         -nan         -nan
         5.5            1          0.5           20          0.2         0.09            3          0.9
         5.5            1          0.5           30     0.133333    0.0622222      3.74166     0.933333
         5.5            1          0.5           40         0.25     0.109375      2.64575        0.875
         5.5            1          0.5           50          0.2         0.09            3          0.9
         5.5            1          0.5           60          0.2         0.09            3          0.9
         5.5            1          0.5           70     0.171429    0.0783673      3.26599     0.914286
         5.5            1          0.5           80        0.175    0.0798437      3.22933       0.9125
         5.5            1          0.5           90          0.2         0.09            3          0.9
         5.5            1          0.5          100          0.2         0.09            3          0.9
         5.5            1          0.5          110          0.2         0.09            3          0.9
         5.5            1          0.5          120          0.2         0.09            3          0.9
         5.5            1          0.5          130          0.2         0.09            3          0.9
         5.5            1          0.5          140          0.2         0.09            3          0.9
         5.5            1          0.5          150     0.186667    0.0846222      3.11677     0.906667
         5.5            1          0.5          160          0.2         0.09            3          0.9
         5.5            1          0.5          170     0.211765    0.0946713      2.90593     0.894118
         5.5            1          0.5          180          0.2         0.09            3          0.9
         5.5            1          0.5          190     0.210526    0.0941828      2.91548     0.894737
         5.5            1          0.5          200          0.2         0.09            3          0.9
         5.5            1          0.5          210          0.2         0.09            3          0.9
         5.5            1          0.5          220     0.209091    0.0936157      2.92664     0.895455
         5.5            1          0.5          230     0.208696    0.0934594      2.92973     0.895652
         5.5            1          0.5          240          0.2         0.09            3          0.9
         5.5            1          0.5          250        0.208     0.101184       3.0586     0.972923
         5.5            1          0.5          260          0.2    0.0976923      3.12558     0.976923
         5.5            1          0.5          270          0.2    0.0974074      3.12102     0.974074
         5.5            1          0.5          280          0.2    0.0971429      3.11677     0.971429
         5.5            1          0.5          290          0.2    0.0968966      3.11282     0.968966
         5.5            1          0.5          300     0.193333    0.0939889      3.17148     0.972299
