         5.5            0          0.5           10            0            0         -nan         -nan
         5.5            0          0.5           20            2          0.8     0.894427          0.8
         5.5            0          0.5           30          2.2         0.89     0.857635     0.809091
         5.5            0          0.5           40           12           17     0.687184      2.83333
         5.5            0          0.5           50         36.6        31.81     0.308199      1.73825
         5.5            0          0.5           60         29.6        27.56     0.354714      1.86216
         5.5            0          0.5           70         10.6        14.61     0.721189       2.7566
         5.5            0          0.5           80         14.8        12.44     0.476627      1.68108
         5.5            0          0.5           90         16.8        23.64     0.578821      2.81429
         5.5            0          0.5          100           30         16.6     0.271621      1.10667
         5.5            0          0.5          110         14.4        20.76     0.632821      2.88333
         5.5            0          0.5          120           16          6.6     0.321131        0.825
         5.5            0          0.5          130         13.6         2.16     0.216131     0.317647
         5.5            0          0.5          140         17.2        25.24     0.584179      2.93488
         5.5            0          0.5          150           25        25.45     0.403584        2.036
         5.5            0          0.5          160         21.4        14.61     0.357225      1.36542
         5.5            0          0.5          170         12.6         5.21     0.362308     0.826984
         5.5            0          0.5          180         18.2        18.09     0.467388      1.98791
         5.5            0          0.5          190         11.4         2.21     0.260808     0.387719
         5.5            0          0.5          200           23        16.85     0.356946      1.46522
         5.5            0          0.5          210         27.6        15.16     0.282144      1.09855
         5.5            0          0.5          220           18         29.4     0.602464      3.26667
         5.5            0          0.5          230          6.2         4.89     0.713334      1.57742
         5.5            0          0.5          240           28         24.8     0.355711      1.77143
         5.5            0          0.5          250         20.2         5.49     0.231988     0.543564
         5.5            0          0.5          260         18.8         5.64     0.252646          0.6
         5.5            0          0.5          270         10.6         2.01     0.267499     0.379245
         5.5            0          0.5          280         26.4        32.36     0.430953      2.45152
         5.5            0          0.5          290         28.4         9.96      0.22225     0.701408
         5.5            0          0.5          300         16.6        13.61     0.444479      1.63976
