         5.5            1          0.5           10            0            0         -nan         -nan
         5.5            1          0.5           20          0.2         0.09            3          0.9
         5.5            1          0.5           30     0.133333    0.0622222      3.74166     0.933333
         5.5            1          0.5           40          0.2         0.09            3          0.9
         5.5            1          0.5           50         0.16       0.0736      3.39116         0.92
         5.5            1          0.5           60          0.2     0.123333      3.51188      1.23333
         5.5            1          0.5           70     0.171429     0.106939      3.81517      1.24762
         5.5            1          0.5           80        0.175     0.104844      3.70052      1.19821
         5.5            1          0.5           90          0.2     0.112222      3.34996      1.12222
         5.5            1          0.5          100         0.18       0.1019      3.54686      1.13222
         5.5            1          0.5          110          0.2     0.108182       3.2891      1.08182
         5.5            1          0.5          120     0.183333    0.0999306      3.44856      1.09015
         5.5            1          0.5          130     0.184615    0.0991716      3.41158      1.07436
         5.5            1          0.5          140     0.185714    0.0985204      3.38024      1.06099
         5.5            1          0.5          150     0.186667    0.0979556      3.35334      1.04952
         5.5            1          0.5          160       0.1875    0.0974609         3.33      1.03958
         5.5            1          0.5          170     0.188235    0.0970242      3.30955      1.03088
         5.5            1          0.5          180     0.188889    0.0966358      3.29149       1.0232
         5.5            1          0.5          190     0.189474    0.0962881      3.27542      1.01637
         5.5            1          0.5          200         0.19     0.095975      3.26103      1.01026
         5.5            1          0.5          210     0.190476    0.0956916      3.24808      1.00476
         5.5            1          0.5          220     0.190909    0.0954339      3.23634     0.999784
         5.5            1          0.5          230     0.191304    0.0951985      3.22567     0.995257
         5.5            1          0.5          240     0.191667    0.0949826      3.21592     0.991123
         5.5            1          0.5          250        0.192     0.094784      3.20698     0.987333
         5.5            1          0.5          260     0.192308    0.0946006      3.19875     0.983846
         5.5            1          0.5          270     0.192593    0.0944307      3.19115     0.980627
         5.5            1          0.5          280     0.192857     0.094273      3.18411     0.977646
         5.5            1          0.5          290     0.193103     0.094126      3.17757     0.974877
         5.5            1          0.5          300     0.186667    0.0912889      3.23722     0.978095
