         5.5            0          0.5           10            0            0         -nan         -nan
         5.5            0          0.5           20          3.4        15.71      2.33152      9.24118
         5.5            0          0.5           30      26.8667      293.446       1.2752      21.8446
         5.5            0          0.5           40        34.45      270.224      0.95434      15.6879
         5.5            0          0.5           50        36.28       224.44     0.825873      12.3727
         5.5            0          0.5           60      37.2333       190.87     0.742107      10.2526
         5.5            0          0.5           70           37       169.05     0.702807      9.13784
         5.5            0          0.5           80         35.9      154.123     0.691622      8.58621
         5.5            0          0.5           90      34.4667      142.912      0.69369      8.29278
         5.5            0          0.5          100           36       137.94     0.652488      7.66333
         5.5            0          0.5          110      37.0182      132.214     0.621231      7.14317
         5.5            0          0.5          120      36.5167      123.542     0.608759      6.76631
         5.5            0          0.5          130         37.6      120.468     0.583818      6.40786
         5.5            0          0.5          140      38.3429      115.028     0.559431      5.99996
         5.5            0          0.5          150      38.7467      112.154     0.546642      5.78909
         5.5            0          0.5          160        38.75      106.597     0.532881      5.50177
         5.5            0          0.5          170      39.7294      105.341     0.516673       5.3029
         5.5            0          0.5          180      40.1111      102.086     0.503788      5.09015
         5.5            0          0.5          190      39.8316      98.2034     0.497583      4.93093
         5.5            0          0.5          200        39.78      94.4079     0.488505       4.7465
         5.5            0          0.5          210       40.019      91.6761      0.47851      4.58162
         5.5            0          0.5          220      40.5818      90.3517     0.468454      4.45282
         5.5            0          0.5          230      40.5391      87.0752     0.460365      4.29586
         5.5            0          0.5          240      40.2917      84.4162     0.456066      4.19026
         5.5            0          0.5          250        39.96      82.3316     0.454138       4.1207
         5.5            0          0.5          260         40.5      82.5644     0.448716      4.07726
         5.5            0          0.5          270      40.3333      80.3019     0.444354      3.98191
         5.5            0          0.5          280      39.9643      78.8961     0.444514      3.94833
         5.5            0          0.5          290      39.9379      77.6921     0.441401      3.89064
         5.5            0          0.5          300      40.5867      79.1206      0.43832      3.89885
