          10            0          0.5           10            0            0         -nan         -nan
          10            0          0.5           20          5.8        58.39      2.63494      20.1345
          10            0          0.5           30      15.5333      122.846      1.42707       15.817
          10            0          0.5           40        17.75      100.159      1.12766      11.2856
          10            0          0.5           50        19.64      90.1876     0.967079      9.18407
          10            0          0.5           60         22.6      91.9433     0.848558      8.13658
          10            0          0.5           70      23.5429      85.9192     0.787437      7.29896
          10            0          0.5           80         23.7      79.2025     0.751019      6.68376
          10            0          0.5           90           25      80.6944     0.718641      6.45556
          10            0          0.5          100        25.22      76.2779     0.692603        6.049
          10            0          0.5          110      25.0727      70.9214     0.671765      5.65725
          10            0          0.5          120      24.9833      65.9666     0.650192      5.28085
          10            0          0.5          130      26.8615      75.5683     0.647245       5.6265
          10            0          0.5          140      26.6143      71.3271     0.634662      5.36006
          10            0          0.5          150        26.92      67.7551     0.611541      5.03381
          10            0          0.5          160      26.7125      64.7918     0.602664      4.85105
          10            0          0.5          170      27.8588      69.6656     0.599206      5.00133
          10            0          0.5          180      28.1111      66.8302     0.581619      4.75472
          10            0          0.5          190      28.3579      66.2311     0.573967      4.67109
          10            0          0.5          200        27.45      67.1094     0.596869      4.88957
          10            0          0.5          210       28.419      70.2609     0.589898      4.94463
          10            0          0.5          220      28.5364      68.9781     0.582086       4.8344
          10            0          0.5          230      28.8522      70.1141     0.580436      4.86023
          10            0          0.5          240        28.55      69.2077     0.582775      4.84818
          10            0          0.5          250       28.896      67.6153     0.569134      4.67991
          10            0          0.5          260      29.5385      70.3083     0.567735      4.76046
          10            0          0.5          270      29.1333      71.5419     0.580657      4.91134
          10            0          0.5          280      28.4143      73.1571     0.602035      5.14932
          10            0          0.5          290      28.8897      74.5918     0.597906      5.16391
          10            0          0.5          300      29.4133       76.374     0.594235      5.19315
