           1            0          0.5           10            0            0         -nan         -nan
           1            0          0.5           20            1         0.85      1.84391          1.7
           1            0          0.5           30      1.26667     0.898889        1.497       1.4193
           1            0          0.5           40          1.5       0.9375      1.29099         1.25
           1            0          0.5           50         1.56       0.8916      1.21057      1.14308
           1            0          0.5           60      1.46667     0.795556      1.21628      1.08485
           1            0          0.5           70      1.57143     0.768367      1.11563     0.977922
           1            0          0.5           80          1.6         0.71      1.05327       0.8875
           1            0          0.5           90      1.66667     0.783333      1.06207         0.94
           1            0          0.5          100          1.7       0.8075      1.05719         0.95
           1            0          0.5          110      1.69091     0.785207       1.0481     0.928739
           1            0          0.5          120      1.63333     0.766389      1.07196     0.938435
           1            0          0.5          130      1.69231     0.791716      1.05156     0.935664
           1            0          0.5          140      1.75714     0.792398       1.0132     0.901916
           1            0          0.5          150      1.77333     0.780489     0.996375     0.880251
           1            0          0.5          160         1.75     0.759375      0.99591     0.867857
           1            0          0.5          170      1.74118     0.747958     0.993404     0.859141
           1            0          0.5          180      1.77778     0.798765      1.00545     0.898611
           1            0          0.5          190      1.72632     0.791801       1.0309      0.91733
           1            0          0.5          200         1.69     0.790975      1.05251     0.936065
           1            0          0.5          210      1.69524     0.795828      1.05247     0.938898
           1            0          0.5          220      1.69091     0.812479      1.06614     0.960997
           1            0          0.5          230      1.66087     0.801682      1.07819     0.965377
           1            0          0.5          240         1.65     0.786042      1.07465     0.952778
           1            0          0.5          250        1.648     0.777024      1.06977      0.94299
           1            0          0.5          260      1.69231     0.814793      1.06678     0.962937
           1            0          0.5          270      1.65185     0.803032      1.08499      0.97228
           1            0          0.5          280      1.65714     0.799184      1.07893     0.964532
           1            0          0.5          290      1.66207     0.788692      1.06865     0.949049
           1            0          0.5          300      1.65333     0.776622      1.06604     0.939462
