         5.5            1          0.5           10            0            0         -nan         -nan
         5.5            1          0.5           20          0.2         0.09            3          0.9
         5.5            1          0.5           30     0.133333    0.0622222      3.74166     0.933333
         5.5            1          0.5           40         0.25     0.109375      2.64575        0.875
         5.5            1          0.5           50          0.2         0.09            3          0.9
         5.5            1          0.5           60          0.2         0.09            3          0.9
         5.5            1          0.5           70          0.2         0.09            3          0.9
         5.5            1          0.5           80        0.175    0.0798437      3.22933       0.9125
         5.5            1          0.5           90     0.222222    0.0987654      2.82843     0.888889
         5.5            1          0.5          100          0.2         0.09            3          0.9
         5.5            1          0.5          110          0.2         0.09            3          0.9
         5.5            1          0.5          120          0.2         0.09            3          0.9
         5.5            1          0.5          130          0.2         0.09            3          0.9
         5.5            1          0.5          140          0.2         0.09            3          0.9
         5.5            1          0.5          150     0.186667    0.0846222      3.11677     0.906667
         5.5            1          0.5          160          0.2         0.09            3          0.9
         5.5            1          0.5          170     0.211765    0.0946713      2.90593     0.894118
         5.5            1          0.5          180          0.2         0.09            3          0.9
         5.5            1          0.5          190     0.210526    0.0941828      2.91548     0.894737
         5.5            1          0.5          200          0.2         0.09            3          0.9
         5.5            1          0.5          210     0.209524    0.0937868      2.92326     0.895238
         5.5            1          0.5          220     0.209091    0.0936157      2.92664     0.895455
         5.5            1          0.5          230     0.217391    0.0968809      2.86356     0.891304
         5.5            1          0.5          240     0.208333     0.093316      2.93258     0.895833
         5.5            1          0.5          250        0.216     0.096336      2.87389        0.892
         5.5            1          0.5          260     0.207692    0.0930621      2.93762     0.896154
         5.5            1          0.5          270     0.207407    0.0929492      2.93987     0.896296
         5.5            1          0.5          280     0.207143    0.0928444      2.94197     0.896429
         5.5            1          0.5          290     0.206897    0.0927467      2.94392     0.896552
         5.5            1          0.5          300          0.2         0.09            3          0.9
