    13.2188579290949    0    141    141    147
    18.3648025521899    0    436    436    436
    34.4836475675331    0    467    467    467
    53.9445765331104    0     12     14     12
    76.5189029809462    0    156    168    154
    86.5112373727954    0     17      5     17
    101.947660591964    0    201    210    201
    123.730256227799    0    418    418    418
    133.420821220562    0     76     76     74
     152.46742407732    0    239    239    239
    162.597690090427    0     70     61     71
    180.499957366246    0    381    381    391
    202.024523763528    0    358    358    371
     216.11725878236    0    114    117    132
    229.435854833427    0    475    475    475
    248.207600216065    0    206    200    206
    264.417187500364    0    117    112    133
    280.071111207365    0    245    245    245
