         5.5            1          0.5           10            0            0         -nan         -nan
         5.5            1          0.5           20          0.2         0.09            3          0.9
         5.5            1          0.5           30     0.533333     0.262222      1.92029     0.983333
         5.5            1          0.5           40          0.4         0.21      2.29129         1.05
         5.5            1          0.5           50         0.32       0.1744      2.61008         1.09
         5.5            1          0.5           60     0.333333     0.172222      2.48998      1.03333
         5.5            1          0.5           70     0.314286      0.16102      2.55356      1.02468
         5.5            1          0.5           80        0.325     0.161094      2.46994     0.991346
         5.5            1          0.5           90     0.311111      0.15358      2.51931     0.987302
         5.5            1          0.5          100          0.3       0.1475      2.56038     0.983333
         5.5            1          0.5          110     0.290909     0.142479      2.59507     0.979545
         5.5            1          0.5          120     0.283333     0.138264      2.62474      0.97598
         5.5            1          0.5          130     0.292308     0.140178       2.5617     0.959109
         5.5            1          0.5          140          0.3     0.141786       2.5103     0.945238
         5.5            1          0.5          150         0.28     0.133733      2.61211     0.955238
         5.5            1          0.5          160        0.275     0.131094      2.63323     0.953409
         5.5            1          0.5          170     0.282353      0.13301      2.58333     0.942157
         5.5            1          0.5          180     0.277778      0.13071      2.60308     0.941111
         5.5            1          0.5          190     0.273684     0.128643      2.62103     0.940081
         5.5            1          0.5          200         0.27     0.126775      2.63744     0.939074
         5.5            1          0.5          210     0.266667     0.125079      2.65249     0.938095
         5.5            1          0.5          220     0.263636     0.123533      2.66634     0.937147
         5.5            1          0.5          230      0.26087     0.122117      2.67914     0.936232
         5.5            1          0.5          240     0.258333     0.120816      2.69099     0.935349
         5.5            1          0.5          250        0.256     0.119616        2.702       0.9345
         5.5            1          0.5          260     0.253846     0.118506      2.71225     0.933683
         5.5            1          0.5          270     0.251852     0.117476      2.72182     0.932898
         5.5            1          0.5          280         0.25     0.116518      2.73078     0.932143
         5.5            1          0.5          290     0.248276     0.115624      2.73918     0.931418
         5.5            1          0.5          300         0.24     0.112267      2.79218     0.935556
