          10            0          0.5           10            0            0         -nan         -nan
          10            0          0.5           20         72.6      2529.01      1.38538      69.6697
          10            0          0.5           30        144.8       265.84     0.225202      3.67182
          10            0          0.5           40         99.2        70.04      0.16873       1.4121
          10            0          0.5           50        141.8       582.49     0.340407      8.21566
          10            0          0.5           60         43.4       108.61     0.480259      5.00507
          10            0          0.5           70         72.2       166.69     0.357641      4.61745
          10            0          0.5           80        105.4        91.21     0.181222      1.73074
          10            0          0.5           90        123.6       500.36     0.361954      8.09644
          10            0          0.5          100         59.8        41.49     0.215427      1.38763
          10            0          0.5          110         96.2       290.29     0.354218      6.03514
          10            0          0.5          120         69.2       172.04     0.379087      4.97225
          10            0          0.5          130        157.8       625.89     0.317082       7.9327
          10            0          0.5          140         74.8        90.24     0.253997      2.41283
          10            0          0.5          150        102.6       156.21     0.243634      3.04503
          10            0          0.5          160         90.8       281.64     0.369651      6.20352
          10            0          0.5          170        177.6      1162.16     0.383902      13.0874
          10            0          0.5          180         61.8        29.29     0.175146     0.947896
          10            0          0.5          190         97.4       467.61     0.444031      9.60185
          10            0          0.5          200         82.8        70.84     0.203301      1.71111
          10            0          0.5          210        168.4      1182.36     0.408378      14.0423
          10            0          0.5          220         71.2        36.04     0.168633      1.01236
          10            0          0.5          230         79.4       341.61     0.465559      8.60479
          10            0          0.5          240         99.2       181.64     0.271722       3.6621
          10            0          0.5          250          184        988.4     0.341726      10.7435
          10            0          0.5          260           74         44.2     0.179684      1.19459
          10            0          0.5          270         93.6       481.76     0.468996       10.294
          10            0          0.5          280           87       237.05     0.353941      5.44943
          10            0          0.5          290        169.4      1210.41     0.410755      14.2906
          10            0          0.5          300         79.2        58.44     0.193046      1.47576
