       1            0            0            0            0            0            0            0            0            0            0
       2            0            0            0            0            0            0            0            0            0            0
       3            0            0            0            0            0            0            0            0            0            0
       4            0            0            0            0            0            0            0            0            0            0
       5            0            0            0            0            0            0            0            0            0            0
       6            0            0            0            0            0            0            0            0            0            0
       7            0            0            0            0            0            0            0            0            0            0
       8            0            0            0            0            0            0            0            0            0            0
       9            0            0            0            0            0            0            0            0            0            0
      10            0            0            0            0            0            0            0            0            0            0
      11            0            0            0            0            0            0            0            0            0            0
      12            0            0            0            0            0            0            0            0            0            0
      13            0            0            0            0            0            0            0            0            0            0
      14            0            0           20           20           20            0            0            0            0            0
      15            0            0            0            0            0            0            0            0            0            0
      16            0           20            0           40            0            0            0           20            0            0
      17           20            0           20            0          240           80            0          120            0            0
      18          600           40          440           80          140           40            0          360            0          120
      19          620          480          600          320            0          100          120          120          100          280
      20          140          660          140          540            0           60          100           20           60          360
      21           20          360            0          620            0           40          140            0          140          480
      22            0          260           20          620           40          180          360           20           80          400
      23           20          140            0          340           60          180          580           20           40          260
      24            0           40            0          200          240          280          340            0           40           40
      25            0           40            0           60          340          420           80            0           60            0
      26           20           20            0           20          380          500            0           40           20           40
      27           20           20            0            0          480          500           20           40           60           20
      28           20            0            0            0          500          700           40           80          100           20
      29           60           40            0            0          800          480            0          260          120            0
      30          100           20           20            0          360          400           60          300          180           20
      31           80            0           20            0          300          160           40          280          340            0
      32          140           40           20            0          200           40           60          460          360            0
      33          120           20            0            0           60           40           20          240          300           60
      34           80            0           40            0           40           80           20          360          460           20
      35          100           20           60            0           40            0           40          240          400           60
      36           80           20           40            0           60            0            0          320          440           40
      37           40            0          160            0           20            0           20          220          300          100
      38           80           20          180            0           20            0            0          160          380           60
      39            0            0          300            0           20            0           40          120          340          140
      40          100           40          260           60           40            0            0          120           80           40
      41           20            0          280           60            0            0           40          120           40           40
      42           60            0          520           60           20            0            0          200           60           60
      43          120            0          660          140            0            0           20           80           20           20
      44           60            0          700          340            0            0          100           80           60           20
      45            0            0          460          700            0            0           20           80           60          100
      46            0            0           60         1000           40            0           40            0          120          140
      47            0           20          120         1120          160            0           40            0           80          280
      48           60            0          100         1240          320            0           60            0          100          460
      49          140           60           60          740          440            0           80            0           40          400
      50          120          120            0          140          360           40           60            0            0          400
      51          120           20           20           40          280           20           80            0           20          140
      52          120           20           20           20          200           40           60           40            0          260
      53          100           20            0            0          200            0          100            0            0          220
      54          200            0           20            0          100            0           60           40            0          120
      55           80           40           20            0           20            0           20           20            0           40
      56          120            0            0            0           40            0           40           20            0          140
      57           80           40           20            0           20            0           80           20            0           40
      58           60           60            0            0           20            0           80           20            0           20
      59          100           80            0            0            0           20           60            0            0            0
      60          160           40            0            0            0            0           20            0            0            0
      61          180           60            0            0            0           20           40           40            0           40
      62          220          160            0            0            0            0           40           40            0            0
      63          200          140            0            0            0           20           20            0            0            0
      64          320          180            0            0            0           60           80           20            0            0
      65          400          220            0            0            0           80           40           20            0           20
      66          400          280            0            0            0          100           80            0           20           80
      67          300          600            0            0            0          220           20           20           20           40
      68           80          380            0            0            0          260            0            0           20          100
      69           20          300            0            0            0          200            0            0           20          100
      70           20          280            0            0            0          400           40            0           60          100
      71            0          100            0            0           20          500            0           20            0          160
