          10            1          0.5           10            0            0         -nan         -nan
          10            1          0.5           20          1.7       5.2275      2.68985         6.15
          10            1          0.5           30          4.2      23.4233      2.30465       11.154
          10            1          0.5           40         3.25      18.2844       2.6314      11.2519
          10            1          0.5           50         2.72      14.9504      2.84307      10.9929
          10            1          0.5           60      2.63333      12.6164      2.69769      9.58207
          10            1          0.5           70      2.34286      10.9992      2.83116      9.38955
          10            1          0.5           80        2.075      9.76109      3.01135      9.40828
          10            1          0.5           90      1.86667      8.77333      3.17355          9.4
          10            1          0.5          100         1.68       7.9744      3.36178      9.49333
          10            1          0.5          110      1.58182      7.29264      3.41441      9.22059
          10            1          0.5          120         1.45      6.73271      3.57896      9.28649
          10            1          0.5          130      1.44615      6.32331      3.47767      8.74501
          10            1          0.5          140      1.67143      6.15158      2.96781      7.36087
          10            1          0.5          150      1.69333      5.76982      2.83706      6.81475
          10            1          0.5          160        1.875      5.62109      2.52894      5.99583
          10            1          0.5          170      1.92941      5.39875      2.40853      5.59627
          10            1          0.5          180      1.83333      5.14306        2.474      5.61061
          10            1          0.5          190      1.73684      4.91427       2.5527      5.65885
          10            1          0.5          200         1.65      4.70437      2.62904      5.70227
          10            1          0.5          210      1.59048      4.50569      2.66921      5.66584
          10            1          0.5          220      1.54545      4.32107      2.69011      5.59198
          10            1          0.5          230      1.50435      4.15163      2.70889       5.5195
          10            1          0.5          240      1.44167      4.00123      2.77499      5.55084
          10            1          0.5          250        1.392      3.85958      2.82268      5.54538
          10            1          0.5          260      1.36154      3.72501      2.83507      5.47177
          10            1          0.5          270      1.33333          3.6      2.84605          5.4
          10            1          0.5          280      1.28571      3.48673      2.90466      5.42381
          10            1          0.5          290      1.24828      3.37942      2.94537      5.41454
          10            1          0.5          300      1.20667      3.27932      3.00147      5.43534
